,HitRate@K (≥1),HitRate@K (≥multi),Precision@K,Recall@K,Users evaluated
Matrix Factorization (NMF),0.9778449144008057,0.5971802618328298,0.5560926485397785,0.6750349488264896,993
User-CF (Pearson),0.9848942598187311,0.5740181268882175,0.5427995971802618,0.6614349871902742,993
Popularity,0.9172185430463576,0.2814569536423841,0.38278145695364235,0.5589535372647955,302
FOF,0.9139072847682119,0.20860927152317882,0.3543046357615894,0.5142673184063913,302
Item-Based,0.890728476821192,0.19536423841059603,0.34039735099337753,0.492367024072322,302
